DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Sep1971;0.11569;-0.44318;-0.16701;-0.32066;-0.23129;-0.41146;-0.49994;-0.29192;-0.2637;-0.28042;-0.22813;-0.05559;0.19218;-0.05164;-0.12326;-0.21644;-0.16551;-0.03684;-0.04182;-0.12354;-0.18406;-0.16503;-0.23846;-0.01833;-0.11569;-0.30242;-0.19659;-0.00254;-0.07111;-0.12557;-0.18898;-0.21656;-0.10133;0.00856;0.01239;0.01507;0.05376;0.10739;0.14928;0.23842;0.28751;0.32669;0.25449;0.21093;0.17412;0.22521;0.18699;0.22861
Oct1971;0.3207;0.25827;-0.18159;0.00436;-0.1529;-0.08845;-0.25094;-0.33782;-0.14736;-0.12248;-0.14011;-0.09111;0.0442;0.27186;0.04838;-0.02738;-0.12514;-0.08371;0.03849;0.03264;-0.04416;-0.10222;-0.07949;-0.14828;0.05787;-0.03564;-0.21403;-0.11799;0.06423;-0.00078;-0.05379;-0.11676;-0.14257;-0.03061;0.07357;0.08011;0.07892;0.1178;0.17178;0.20469;0.28505;0.3322;0.37044;0.29746;0.25551;0.21986;0.26632;0.23001
Nov1971;0.35343;0.42697;0.34105;-0.08356;0.06084;-0.10626;-0.04993;-0.19826;-0.27933;-0.10102;-0.07605;-0.08846;-0.03822;0.08607;0.30336;0.08396;0.00568;-0.09417;-0.05157;0.0665;0.05949;-0.01523;-0.0717;-0.04888;-0.11798;0.08533;-0.00765;-0.18139;-0.09086;0.0871;0.0234;-0.03043;-0.09265;-0.11653;-0.00911;0.09413;0.0987;0.09798;0.13698;0.19086;0.22259;0.30302;0.34769;0.38531;0.3118;0.27108;0.23526;0.27874
Dec1971;0.54162;0.64137;0.73575;0.56761;0.13333;0.2378;0.05213;0.08951;-0.07357;-0.15552;0.02088;0.04294;0.0235;0.06606;0.1841;0.39609;0.17713;0.09828;-0.00368;0.03586;0.14948;0.1436;0.06831;0.01153;0.03049;-0.04117;0.16072;0.06591;-0.11039;-0.02121;0.15503;0.09094;0.03472;-0.02751;-0.05189;0.05484;0.15569;0.15802;0.15609;0.19355;0.24522;0.277;0.35779;0.40194;0.43767;0.36512;0.32477;0.289
Jan1972;-0.15646;0.36768;0.51728;0.63841;0.49925;0.08811;0.19848;0.0236;0.06923;-0.08014;-0.16035;0.00734;0.02928;0.00982;0.05218;0.1661;0.37342;0.15528;0.07372;-0.02892;0.00513;0.11727;0.11065;0.03666;-0.01937;0.00086;-0.06815;0.13124;0.03765;-0.13735;-0.04943;0.12497;0.06276;0.01009;-0.05085;-0.07417;0.03052;0.12959;0.13216;0.12989;0.16929;0.22087;0.25308;0.33427;0.37796;0.41098;0.33718;0.2964
Feb1972;-0.27375;-0.36997;0.12226;0.34142;0.53132;0.41361;0.02619;0.14357;-0.01968;0.03142;-0.11346;-0.19038;-0.02624;-0.00422;-0.01952;0.02447;0.13958;0.34231;0.12715;0.04679;-0.05455;-0.01986;0.09306;0.08668;0.01351;-0.04271;-0.02063;-0.08801;0.10899;0.01667;-0.15606;-0.06893;0.10339;0.04207;-0.00941;-0.07037;-0.0937;0.01091;0.1101;0.11298;0.11058;0.1497;0.20137;0.23384;0.31404;0.35847;0.39195;0.3189
Mar1972;-0.15183;-0.3379;-0.42508;-0.05876;0.12665;0.383;0.31267;-0.04605;0.08797;-0.05684;-0.00241;-0.14283;-0.21759;-0.05739;-0.03856;-0.0492;-0.00499;0.10828;0.30353;0.09453;0.02076;-0.07765;-0.04028;0.07232;0.06647;-0.00548;-0.0622;-0.0408;-0.10743;0.08647;-0.00598;-0.18048;-0.09248;0.08057;0.02072;-0.03037;-0.09136;-0.11454;-0.00996;0.08882;0.09132;0.08901;0.12863;0.17993;0.21298;0.29454;0.33887;0.37176
Apr1972;0.24124;0.05812;-0.07246;-0.14788;0.11835;0.23995;0.45438;0.38285;0.04277;0.16093;0.0166;0.05167;-0.09337;-0.16861;-0.01105;0.00701;-0.00298;0.04105;0.1555;0.34517;0.13898;0.06668;-0.02841;0.00665;0.11649;0.11103;0.03976;-0.01618;0.00093;-0.06499;0.12222;0.03199;-0.13994;-0.05062;0.11902;0.05877;0.00746;-0.05309;-0.0783;0.02651;0.12605;0.1297;0.12532;0.16261;0.21063;0.24298;0.32168;0.36795
May1972;-0.10235;0.08819;-0.00368;-0.08326;-0.12373;0.11664;0.18927;0.34903;0.2971;0.00688;0.11845;-0.01835;0.02313;-0.10705;-0.18255;-0.0305;-0.01112;-0.01988;0.02538;0.14004;0.32617;0.12123;0.05101;-0.04593;-0.0124;0.09721;0.09106;0.02243;-0.03134;-0.01578;-0.07982;0.09986;0.01397;-0.15161;-0.06456;0.09986;0.03963;-0.0103;-0.07045;-0.09402;0.00897;0.10728;0.11059;0.10764;0.14503;0.192;0.22452;0.30313
Jun1972;-0.37883;-0.34891;-0.16689;-0.22451;-0.27744;-0.29786;-0.10618;-0.04214;0.12618;0.11059;-0.1524;-0.04038;-0.15747;-0.11243;-0.23158;-0.30064;-0.15723;-0.13728;-0.13881;-0.09435;0.02975;0.21295;0.01505;-0.04834;-0.13651;-0.09721;0.01269;0.00653;-0.06078;-0.11241;-0.09543;-0.15775;0.01943;-0.06393;-0.22281;-0.13644;0.02516;-0.03177;-0.07856;-0.13613;-0.15877;-0.05867;0.03806;0.04154;0.04001;0.07597;0.12321;0.15759
