DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Dec1957;0.07513;0.23436;-0.03109;0.526;0.64656;0.85834;0.88223;0.81801;0.90926;0.70694;0.85253;0.87499;0.83091;0.84006;0.85059;0.84454;0.90084;0.97937;1.03543;1.16076;1.29965;1.245;1.19874;1.19186;1.2381;1.11058;1.07787;0.97021;0.95834;0.98034;0.99569;0.9877;1.01405;1.07883;0.98862;0.95957;0.87569;0.76114;0.71435;0.71286;0.67739;0.70672;0.7462;0.80367;0.78206;0.75962;0.77251;0.76734
Jan1958;-0.21603;-0.08079;0.08898;-0.10408;0.397;0.53231;0.75105;0.79046;0.73812;0.83934;0.64563;0.77769;0.79739;0.75819;0.7539;0.77116;0.76502;0.82189;0.90455;0.96155;1.0829;1.22187;1.17991;1.12985;1.12795;1.16323;1.04533;1.01536;0.90887;0.90053;0.92559;0.94374;0.93387;0.95709;1.02536;0.93873;0.9053;0.82601;0.7113;0.66834;0.66795;0.63252;0.66284;0.70282;0.76243;0.74271;0.72289;0.73718
Feb1958;0.10047;-0.11529;-0.03449;0.09345;-0.0838;0.37299;0.5059;0.72372;0.76337;0.71452;0.81233;0.62756;0.75996;0.77882;0.73797;0.73242;0.74713;0.74275;0.79846;0.88106;0.93923;1.06034;1.1973;1.15184;1.10753;1.10695;1.1455;1.03284;1.00397;0.89795;0.89036;0.91529;0.93303;0.92285;0.94702;1.01673;0.93065;0.89605;0.81658;0.70126;0.659;0.65832;0.62221;0.65215;0.69293;0.75298;0.7327;0.7118
Mar1958;0.16279;0.13142;-0.01372;0.02845;0.14175;-0.02066;0.3921;0.51152;0.70836;0.74609;0.70221;0.79734;0.62574;0.75637;0.77252;0.73812;0.73221;0.74467;0.7384;0.79149;0.86859;0.92658;1.04916;1.18237;1.14047;1.09481;1.09016;1.13209;1.02208;0.99589;0.89307;0.88681;0.9116;0.92843;0.91981;0.94243;1.00801;0.92333;0.88976;0.8127;0.70099;0.66029;0.66083;0.6258;0.6544;0.69466;0.75481;0.73548
Apr1958;0.70525;0.49205;0.39732;0.22406;0.2344;0.31559;0.15573;0.53527;0.64685;0.82908;0.85927;0.80805;0.89089;0.7301;0.84373;0.85112;0.81318;0.80367;0.81124;0.80409;0.85315;0.92411;0.97758;1.09006;1.21803;1.18079;1.13677;1.13281;1.17134;1.06521;1.03836;0.93674;0.93095;0.95445;0.97037;0.96014;0.98021;1.04472;0.96178;0.92785;0.85058;0.74106;0.70133;0.70146;0.66669;0.69421;0.73341;0.79178
May1958;0.43687;0.78657;0.61049;0.5132;0.33313;0.33291;0.40461;0.24336;0.59147;0.69035;0.85476;0.88522;0.83741;0.91343;0.7614;0.8706;0.87756;0.84139;0.83452;0.84139;0.83403;0.88021;0.94709;0.99804;1.10703;1.23201;1.19628;1.15277;1.15258;1.18817;1.08401;1.05713;0.95674;0.95092;0.97445;0.98999;0.9804;0.9989;1.06256;0.98225;0.94755;0.8715;0.76444;0.72449;0.72433;0.68995;0.71632;0.75377
Jun1958;-0.35187;0.18967;0.63579;0.49753;0.4332;0.27818;0.28373;0.35477;0.19867;0.53924;0.63546;0.7987;0.83115;0.7898;0.86548;0.7156;0.82824;0.83634;0.80373;0.80037;0.80861;0.80454;0.85119;0.9169;0.96928;1.07917;1.20493;1.16895;1.12586;1.12516;1.16335;1.05954;1.03356;0.93278;0.92682;0.95012;0.96603;0.95577;0.97456;1.03845;0.95888;0.92565;0.85083;0.74398;0.70395;0.70387;0.66936;0.6957
Jul1958;0.46546;0.07731;0.30861;0.66373;0.54258;0.46345;0.31768;0.31793;0.37988;0.22437;0.5551;0.64745;0.80632;0.83549;0.79249;0.86389;0.72002;0.82702;0.83506;0.80252;0.79973;0.80784;0.80352;0.84915;0.91364;0.96565;1.0738;1.19751;1.16185;1.12031;1.11722;1.15657;1.05521;1.02995;0.93074;0.92534;0.94842;0.96418;0.95217;0.96963;1.03295;0.95348;0.92104;0.84676;0.74104;0.70123;0.70118;0.66748
Aug1958;0.64657;0.66031;0.3606;0.44407;0.73403;0.61304;0.53083;0.392;0.38396;0.43693;0.28358;0.59931;0.68799;0.83983;0.86565;0.82059;0.88684;0.74708;0.85024;0.85721;0.82399;0.82037;0.82879;0.82297;0.86703;0.93045;0.98047;1.08502;1.20523;1.17025;1.1293;1.12839;1.16617;1.06645;1.04176;0.94303;0.93706;0.95915;0.97429;0.96163;0.97908;1.04222;0.96407;0.93165;0.85665;0.75165;0.71182;0.71178
Sep1958;0.62822;0.71852;0.72362;0.56677;0.59644;0.82164;0.72156;0.63876;0.52367;0.49969;0.54276;0.39946;0.68047;0.75884;0.88833;0.9079;0.8624;0.92456;0.79556;0.88996;0.89496;0.86379;0.86477;0.87248;0.86678;0.90873;0.96621;1.01176;1.11083;1.22638;1.19259;1.15425;1.15333;1.18874;1.09203;1.06728;0.97256;0.96605;0.98753;1.00031;0.98805;1.00626;1.06762;0.99298;0.96094;0.88776;0.78708;0.74667
Oct1958;0.36656;0.58486;0.67106;0.66439;0.56119;0.59403;0.77395;0.70924;0.64334;0.5473;0.52637;0.56103;0.43425;0.69909;0.77561;0.89758;0.91904;0.87356;0.93707;0.81417;0.90142;0.9039;0.87258;0.87502;0.88112;0.87755;0.91737;0.97157;1.01545;1.11231;1.22727;1.19487;1.15785;1.15859;1.19483;1.1007;1.077;0.98265;0.97628;0.99711;1.01007;0.99829;1.01622;1.07714;1.00315;0.97277;0.90126;0.80432
