DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Dec1969;0.0018;-0.60529;0.48904;0.10218;-0.41898;-0.05086;0.24745;-0.0957;-0.28786;-0.38249;-0.34954;-0.10495;-0.00288;-0.02446;-0.06186;0.04256;0.47084;0.45759;0.49346;0.51861;0.52094;0.42639;0.38808;0.36972;0.42815;0.4;0.46731;0.31277;0.08464;-0.0561;0.03888;-0.00397;0.16826;0.21169;0.2084;0.263;0.25551;0.30722;0.28167;0.1204;0.24965;0.26784;0.26608;0.10675;0.14986;0.14152;0.12259;0.12302
Jan1970;0.36823;0.21218;-0.32306;0.61325;0.23985;-0.26993;0.0807;0.34773;0.00708;-0.18654;-0.28626;-0.25888;-0.02517;0.06811;0.04365;0.007;0.10123;0.51106;0.49591;0.52918;0.55614;0.5573;0.46351;0.42502;0.40409;0.46023;0.43281;0.4958;0.34183;0.11558;-0.02311;0.07156;0.02952;0.20028;0.24292;0.24007;0.29355;0.2865;0.33784;0.31143;0.15342;0.28201;0.30051;0.29923;0.14448;0.18659;0.17744;0.15797
Feb1970;-0.38883;0.03738;-0.00708;-0.44586;0.48096;0.14266;-0.34426;0.00788;0.28093;-0.04929;-0.23811;-0.33356;-0.30573;-0.07493;0.01972;-0.00337;-0.03928;0.05446;0.46524;0.45163;0.48606;0.51465;0.51614;0.42356;0.38535;0.36621;0.42355;0.39719;0.46066;0.30813;0.08311;-0.05409;0.04162;-0.00017;0.17127;0.21425;0.21176;0.26555;0.25946;0.31088;0.28535;0.12838;0.25699;0.27624;0.27512;0.12141;0.16381;0.15448
Mar1970;0.4706;0.15976;0.35577;0.2783;-0.1295;0.58188;0.25926;-0.22177;0.09186;0.34956;0.01839;-0.17103;-0.26625;-0.23775;-0.01083;0.08284;0.06008;0.02269;0.1101;0.51256;0.49403;0.5281;0.55428;0.55597;0.46457;0.42765;0.40835;0.46421;0.43844;0.49837;0.34917;0.12691;-0.00997;0.08317;0.04031;0.20933;0.25189;0.24889;0.30198;0.29654;0.34736;0.32114;0.16575;0.29404;0.31083;0.30777;0.15386;0.1952
Apr1970;1.06;1.0635;0.8788;0.97487;0.87816;0.58456;0.99439;0.7211;0.25569;0.46658;0.64174;0.31307;0.12004;0.02589;0.05414;0.26222;0.34639;0.32366;0.28028;0.35942;0.72466;0.69855;0.72176;0.74352;0.74619;0.65799;0.62388;0.60239;0.64834;0.62427;0.67599;0.53232;0.31772;0.18032;0.25697;0.21181;0.37541;0.41698;0.41361;0.46445;0.46198;0.51289;0.4829;0.33194;0.45578;0.46677;0.45736;0.30414
May1970;-0.01802;0.56919;0.63483;0.51906;0.62712;0.5676;0.3638;0.72312;0.57153;0.20498;0.38994;0.55838;0.26545;0.09033;0.00285;0.0281;0.2297;0.30602;0.28721;0.24617;0.33218;0.6793;0.65777;0.68313;0.71263;0.72015;0.63328;0.6007;0.58014;0.62387;0.60117;0.65236;0.50927;0.30022;0.16462;0.24039;0.19463;0.35639;0.39813;0.39454;0.44501;0.44501;0.49396;0.46749;0.32149;0.44367;0.45178;0.44435
Jun1970;0.05792;0.03182;0.48386;0.5417;0.46013;0.54519;0.49827;0.32405;0.62702;0.48809;0.1728;0.34686;0.51412;0.24658;0.082;0.00331;0.02678;0.21326;0.28688;0.26909;0.23507;0.31625;0.64636;0.6301;0.66158;0.69363;0.69869;0.61533;0.58314;0.56407;0.60639;0.58455;0.63917;0.50555;0.3025;0.17466;0.25004;0.2058;0.36439;0.40363;0.40043;0.44904;0.45172;0.4991;0.47533;0.33353;0.44912;0.45518
Jul1970;0.09085;0.07149;0.02189;0.41166;0.46853;0.39954;0.4783;0.4416;0.28513;0.56422;0.44958;0.16514;0.32602;0.47359;0.22546;0.06963;-0.00495;0.01483;0.19309;0.2647;0.24875;0.21775;0.30034;0.61641;0.60672;0.6387;0.67191;0.67484;0.59381;0.5621;0.54354;0.58657;0.56435;0.61887;0.48914;0.29055;0.16501;0.2388;0.19621;0.35237;0.3913;0.38813;0.43606;0.43859;0.48516;0.46314;0.3218;0.43805
Aug1970;-1.13009;-0.70887;-0.48755;-0.45675;-0.05632;0.01249;-0.04847;0.05025;0.03066;-0.11135;0.16625;0.06538;-0.17982;-0.00215;0.16737;-0.05663;-0.20105;-0.27024;-0.25156;-0.07247;0.00328;-0.01076;-0.03406;0.05422;0.37494;0.37063;0.41432;0.45248;0.45941;0.37721;0.34572;0.33018;0.37621;0.35527;0.41434;0.27946;0.08376;-0.03543;0.04677;0.00929;0.16584;0.20521;0.20226;0.2517;0.25339;0.29851;0.27961;0.14087
Sep1970;0.46529;-0.42295;-0.34554;-0.26293;-0.25436;0.09793;0.15169;0.09088;0.17375;0.14843;0.00989;0.2637;0.17156;-0.06334;0.09769;0.25348;0.03812;-0.10473;-0.17434;-0.15741;0.01442;0.08863;0.07232;0.04401;0.12871;0.43753;0.43135;0.46955;0.50823;0.51251;0.43082;0.39942;0.38272;0.42484;0.40436;0.46187;0.32838;0.13725;0.01826;0.09358;0.05473;0.20732;0.24567;0.243;0.29028;0.29019;0.33541;0.3172
Oct1970;0.64107;0.65706;-0.13561;-0.12348;-0.0769;-0.09022;0.23452;0.28513;0.22809;0.29864;0.2706;0.13593;0.38057;0.29203;0.05933;0.2108;0.35457;0.14038;-0.0036;-0.07182;-0.05476;0.11201;0.18647;0.16993;0.13923;0.21992;0.52467;0.51563;0.54661;0.58261;0.58608;0.50516;0.47338;0.45606;0.4939;0.47401;0.53125;0.39912;0.20711;0.08435;0.15473;0.11291;0.26372;0.30265;0.29999;0.34641;0.3443;0.38966
