DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Dec1987;0.61496;0.35133;-0.01467;-0.22822;0.16184;0.28536;-0.20037;-0.3101;-0.67716;-0.5643;-0.60708;-0.67634;-0.74896;-0.7633;-0.68199;-0.16313;-0.12862;0.00171;0.00235;-0.04176;0.06236;-0.01056;0.0215;-0.04027;-0.00102;0.21917;0.25977;0.40908;0.54506;0.49012;0.41439;0.35089;0.25242;0.29003;0.31808;0.29909;0.37183;0.35728;0.50657;0.51245;0.3581;0.26751;0.35698;0.3294;0.45395;0.47472;0.48034;0.4351
Jan1988;0.46167;0.67811;0.4315;0.07171;-0.15997;0.21257;0.31959;-0.16321;-0.26643;-0.6278;-0.51486;-0.55706;-0.62563;-0.70005;-0.71605;-0.63747;-0.12649;-0.09649;0.02488;0.02016;-0.02585;0.07654;0.00142;0.03243;-0.02933;0.01019;0.22782;0.2648;0.41498;0.54966;0.49449;0.41821;0.35453;0.25879;0.29526;0.3231;0.30405;0.37613;0.36122;0.50962;0.51641;0.3614;0.27216;0.36396;0.3366;0.46032;0.48023;0.48554
Feb1988;-0.57977;-0.11065;0.27325;0.21045;-0.07302;-0.26143;0.12221;0.24179;-0.23327;-0.32817;-0.67912;-0.56462;-0.60435;-0.66974;-0.74043;-0.75496;-0.67353;-0.1716;-0.14027;-0.01814;-0.02191;-0.06605;0.035;-0.03884;-0.00814;-0.07023;-0.03036;0.18678;0.22537;0.37577;0.51258;0.45834;0.38393;0.32099;0.22672;0.26383;0.29213;0.27292;0.34678;0.33217;0.4813;0.48815;0.33359;0.24502;0.33703;0.31042;0.43504;0.45547
Mar1988;-0.2975;-0.56553;-0.36079;-0.01873;-0.00725;-0.22711;-0.36284;0.00879;0.15035;-0.30879;-0.38978;-0.73181;-0.61675;-0.6564;-0.72074;-0.78886;-0.80238;-0.71892;-0.21641;-0.17988;-0.05656;-0.06157;-0.10467;-0.00076;-0.07286;-0.04208;-0.10409;-0.06368;0.1534;0.19187;0.34299;0.48132;0.42886;0.35447;0.29065;0.19645;0.23374;0.2615;0.24303;0.31758;0.30268;0.45317;0.45895;0.30382;0.21596;0.30983;0.2834;0.41001
Apr1988;-0.73285;-0.81854;-0.93655;-0.78959;-0.50283;-0.42419;-0.55851;-0.65145;-0.27658;-0.11371;-0.51434;-0.57886;-0.88089;-0.77621;-0.815;-0.87378;-0.93301;-0.94743;-0.85896;-0.36959;-0.33151;-0.20402;-0.20195;-0.23625;-0.1326;-0.20252;-0.17137;-0.233;-0.19466;0.01984;0.06189;0.20891;0.34861;0.30062;0.23049;0.17026;0.07937;0.1161;0.14388;0.12538;0.20305;0.18908;0.34191;0.3494;0.19511;0.11156;0.20727;0.18386
May1988;-1.15525;-1.22925;-1.22233;-1.26672;-1.17023;-0.94365;-0.85188;-0.92895;-0.96278;-0.62388;-0.46833;-0.81008;-0.84958;-1.09959;-1.00488;-1.03523;-1.08734;-1.13207;-1.14502;-1.05547;-0.60238;-0.56264;-0.42993;-0.42019;-0.44636;-0.34039;-0.40763;-0.37556;-0.43473;-0.39445;-0.18773;-0.13769;0.00946;0.14821;0.10435;0.04018;-0.01632;-0.10188;-0.06646;-0.03845;-0.05376;0.02541;0.01218;0.16992;0.18065;0.02784;-0.0531;0.04534
Jun1988;-1.77739;-1.80126;-1.76884;-1.77911;-1.78327;-1.68861;-1.50624;-1.42393;-1.43646;-1.44563;-1.13123;-0.9931;-1.22819;-1.23073;-1.415;-1.32661;-1.34677;-1.38823;-1.41933;-1.42841;-1.34132;-0.95344;-0.91154;-0.78899;-0.76989;-0.78186;-0.6808;-0.74289;-0.71246;-0.76545;-0.72559;-0.5357;-0.47958;-0.33643;-0.20047;-0.23195;-0.28865;-0.33594;-0.40934;-0.3753;-0.3489;-0.36117;-0.28229;-0.29541;-0.13644;-0.12528;-0.27009;-0.3442
Jul1988;-0.93401;-1.74374;-1.84833;-1.83944;-1.86561;-1.87325;-1.79766;-1.65083;-1.57579;-1.56913;-1.55305;-1.26962;-1.14362;-1.33921;-1.33434;-1.49233;-1.41282;-1.43274;-1.47295;-1.50074;-1.51314;-1.43142;-1.07873;-1.03909;-0.93032;-0.90626;-0.91689;-0.81983;-0.87613;-0.84698;-0.89462;-0.85708;-0.68033;-0.62364;-0.48958;-0.3598;-0.38909;-0.43969;-0.48443;-0.55135;-0.51928;-0.49481;-0.50435;-0.4269;-0.43852;-0.2828;-0.27062;-0.40906
Aug1988;-0.08534;-0.68375;-1.43078;-1.65521;-1.70982;-1.71303;-1.74055;-1.67517;-1.55741;-1.496;-1.50843;-1.49122;-1.24078;-1.11875;-1.32248;-1.31327;-1.48139;-1.40651;-1.42826;-1.47547;-1.50976;-1.51732;-1.44412;-1.08379;-1.03937;-0.92919;-0.90442;-0.91827;-0.81776;-0.87503;-0.84666;-0.89407;-0.85498;-0.6768;-0.62182;-0.48357;-0.35536;-0.38219;-0.43474;-0.47614;-0.54291;-0.51172;-0.48869;-0.49816;-0.42229;-0.4338;-0.28243;-0.2712
Sep1988;0.24957;0.06233;-0.45752;-1.19178;-1.43773;-1.53134;-1.54292;-1.57579;-1.52662;-1.40893;-1.35672;-1.38205;-1.38155;-1.15247;-1.04024;-1.25077;-1.24324;-1.41753;-1.3451;-1.36599;-1.41309;-1.44867;-1.45847;-1.39746;-1.03506;-0.99398;-0.88533;-0.86038;-0.87554;-0.76987;-0.82812;-0.80059;-0.84786;-0.81276;-0.63794;-0.58653;-0.44794;-0.32333;-0.35087;-0.40249;-0.44067;-0.50762;-0.47786;-0.45637;-0.46626;-0.39304;-0.4052;-0.25727
Oct1988;-0.34532;-0.06836;-0.10833;-0.52504;-1.1792;-1.38408;-1.48211;-1.4868;-1.51436;-1.46883;-1.34993;-1.31193;-1.33187;-1.34746;-1.1534;-1.0504;-1.24724;-1.24236;-1.40661;-1.34342;-1.36507;-1.41043;-1.44735;-1.46394;-1.39708;-1.04578;-1.0099;-0.90962;-0.88225;-0.89836;-0.79927;-0.85557;-0.82949;-0.87464;-0.8408;-0.67041;-0.61946;-0.48732;-0.36748;-0.39335;-0.44228;-0.48018;-0.54488;-0.5148;-0.49308;-0.50328;-0.43393;-0.44611
Nov1988;0.76423;0.12151;0.23247;0.12829;-0.2699;-0.92294;-1.15237;-1.26567;-1.27296;-1.30713;-1.26794;-1.15628;-1.12743;-1.15149;-1.17608;-0.99759;-0.89469;-1.10233;-1.10575;-1.27898;-1.22032;-1.24665;-1.29274;-1.33134;-1.35239;-1.2826;-0.9292;-0.89616;-0.79627;-0.7717;-0.79316;-0.69711;-0.75247;-0.72742;-0.7748;-0.74173;-0.56987;-0.52178;-0.39205;-0.27292;-0.29845;-0.34796;-0.38823;-0.45523;-0.42465;-0.4029;-0.4142;-0.34728
Dec1988;-0.02905;0.55037;0.06389;0.18346;0.08998;-0.29057;-0.91789;-1.13973;-1.25395;-1.26299;-1.2977;-1.25922;-1.14922;-1.12302;-1.14755;-1.16986;-0.9961;-0.89344;-1.09829;-1.10167;-1.27437;-1.21624;-1.24202;-1.28837;-1.32685;-1.34637;-1.27604;-0.92901;-0.89592;-0.79859;-0.77469;-0.79749;-0.70128;-0.75577;-0.73069;-0.77695;-0.74427;-0.57557;-0.52886;-0.39932;-0.28094;-0.30543;-0.35464;-0.39454;-0.46098;-0.4307;-0.40966;-0.42093
Jan1989;-0.05014;-0.11638;0.41433;0.02101;0.14546;0.04603;-0.32093;-0.92657;-1.13316;-1.24062;-1.25251;-1.28703;-1.24937;-1.14314;-1.11861;-1.14476;-1.16647;-0.99639;-0.90171;-1.10746;-1.11172;-1.28268;-1.22845;-1.25303;-1.29911;-1.33465;-1.35199;-1.28388;-0.94912;-0.91816;-0.82312;-0.79914;-0.81815;-0.71783;-0.77213;-0.74688;-0.79232;-0.75975;-0.59341;-0.54896;-0.41499;-0.29825;-0.31876;-0.36503;-0.40438;-0.47198;-0.44383;-0.42384
Feb1989;-0.40708;-0.31709;-0.30888;0.23082;-0.08918;0.06258;-0.02266;-0.37814;-0.96704;-1.15978;-1.26016;-1.27021;-1.30419;-1.26756;-1.16335;-1.13995;-1.16562;-1.18895;-1.02304;-0.93135;-1.13071;-1.13202;-1.29768;-1.2445;-1.26898;-1.31391;-1.34662;-1.36332;-1.29675;-0.97033;-0.93987;-0.84534;-0.82191;-0.8402;-0.74005;-0.79419;-0.76955;-0.81438;-0.78121;-0.61475;-0.5703;-0.43731;-0.32028;-0.33955;-0.38487;-0.42347;-0.49039;-0.46257
Mar1989;0.00693;-0.22865;-0.24914;-0.26412;0.17712;-0.09434;0.03234;-0.03803;-0.37924;-0.96104;-1.15503;-1.25939;-1.26723;-1.30346;-1.26681;-1.16342;-1.14104;-1.16655;-1.18922;-1.02442;-0.92958;-1.13582;-1.13559;-1.306;-1.25177;-1.2761;-1.32149;-1.35642;-1.37378;-1.30739;-0.9808;-0.95138;-0.85499;-0.83253;-0.84829;-0.74317;-0.7967;-0.77207;-0.81652;-0.78385;-0.61852;-0.57501;-0.44197;-0.32546;-0.34466;-0.38904;-0.4283;-0.49578
Apr1989;-0.64949;-0.55505;-0.63565;-0.63239;-0.62359;-0.19342;-0.31766;-0.18477;-0.20921;-0.51757;-1.05665;-1.2492;-1.35224;-1.36161;-1.39218;-1.35875;-1.25485;-1.23277;-1.25744;-1.27434;-1.11074;-1.01065;-1.20886;-1.21368;-1.3827;-1.33343;-1.35754;-1.40183;-1.43575;-1.45239;-1.3878;-1.06397;-1.03758;-0.93429;-0.91078;-0.9215;-0.81735;-0.87008;-0.84571;-0.88836;-0.85527;-0.68967;-0.64506;-0.51497;-0.39768;-0.41432;-0.45863;-0.49524
May1989;-0.27154;-0.55556;-0.51474;-0.59536;-0.61636;-0.60855;-0.27576;-0.36348;-0.26971;-0.27572;-0.56148;-1.06382;-1.25309;-1.34792;-1.36356;-1.39349;-1.36473;-1.26773;-1.25695;-1.27653;-1.29748;-1.14467;-1.04981;-1.23691;-1.25042;-1.41197;-1.37067;-1.39804;-1.44047;-1.47784;-1.5024;-1.43663;-1.11043;-1.08511;-0.97938;-0.94931;-0.96019;-0.85929;-0.91251;-0.88813;-0.92966;-0.89823;-0.73125;-0.68624;-0.55919;-0.44067;-0.45787;-0.4998
Jun1989;-0.24355;-0.353;-0.55547;-0.5447;-0.61079;-0.62215;-0.61537;-0.35866;-0.43511;-0.35008;-0.34596;-0.59169;-1.03645;-1.21729;-1.30128;-1.32336;-1.35271;-1.32696;-1.23965;-1.23194;-1.25687;-1.28209;-1.13808;-1.05737;-1.231;-1.25151;-1.4091;-1.36732;-1.39588;-1.43286;-1.46678;-1.49506;-1.42735;-1.11642;-1.09005;-0.99373;-0.96744;-0.97737;-0.88248;-0.9344;-0.91211;-0.95253;-0.92248;-0.76117;-0.71999;-0.59548;-0.47719;-0.49363
Jul1989;-0.65014;-0.59562;-0.63678;-0.78013;-0.77396;-0.82269;-0.82903;-0.81588;-0.56531;-0.59476;-0.50875;-0.48527;-0.69978;-1.11644;-1.28991;-1.3635;-1.38661;-1.41106;-1.38664;-1.30268;-1.29713;-1.31209;-1.34721;-1.20284;-1.1306;-1.29785;-1.32534;-1.47807;-1.43542;-1.46351;-1.49778;-1.53124;-1.56065;-1.49959;-1.20294;-1.17925;-1.08758;-1.06097;-1.06994;-0.97638;-1.02641;-1.0048;-1.04226;-1.01288;-0.85402;-0.81319;-0.69098;-0.57333
Aug1989;0.26134;-0.31154;-0.41777;-0.49944;-0.65739;-0.65108;-0.70094;-0.70969;-0.69711;-0.46766;-0.5074;-0.43274;-0.41459;-0.62909;-1.0487;-1.23016;-1.30851;-1.32865;-1.35314;-1.32971;-1.24845;-1.23798;-1.26158;-1.30611;-1.16026;-1.08567;-1.25998;-1.28998;-1.44866;-1.40628;-1.43637;-1.47074;-1.5064;-1.53803;-1.47538;-1.172;-1.14653;-1.05371;-1.02678;-1.03221;-0.93859;-0.98866;-0.96709;-1.00567;-0.97779;-0.81866;-0.78079;-0.65903
Sep1989;0.23895;0.30525;-0.1445;-0.2865;-0.38931;-0.52605;-0.53162;-0.57912;-0.59317;-0.57947;-0.3793;-0.41905;-0.36076;-0.34219;-0.56108;-0.97645;-1.15867;-1.23993;-1.26332;-1.28735;-1.26509;-1.18454;-1.17898;-1.20533;-1.25479;-1.10625;-1.03758;-1.21439;-1.24345;-1.40485;-1.36015;-1.3899;-1.42326;-1.45852;-1.48823;-1.42834;-1.12674;-1.10226;-1.01048;-0.98408;-0.98859;-0.89483;-0.9467;-0.92386;-0.96322;-0.93624;-0.77689;-0.74041
Oct1989;-0.60216;-0.20946;-0.05716;-0.39963;-0.49519;-0.56759;-0.68893;-0.68858;-0.72695;-0.74022;-0.72628;-0.53701;-0.56117;-0.50584;-0.48812;-0.68535;-1.07619;-1.24517;-1.31525;-1.33914;-1.35927;-1.33936;-1.26162;-1.25584;-1.27709;-1.32462;-1.17971;-1.11961;-1.28707;-1.31481;-1.47063;-1.42553;-1.45354;-1.48291;-1.51121;-1.5394;-1.47671;-1.18885;-1.16493;-1.07856;-1.0529;-1.05801;-0.96866;-1.0175;-0.99585;-1.03389;-1.00787;-0.85336
Nov1989;-0.41964;-0.77248;-0.37776;-0.20817;-0.49572;-0.58648;-0.65419;-0.76955;-0.76157;-0.79896;-0.81093;-0.79834;-0.61521;-0.63161;-0.57499;-0.55679;-0.74148;-1.11732;-1.2771;-1.34477;-1.36989;-1.39077;-1.37258;-1.29764;-1.29322;-1.31033;-1.35434;-1.21574;-1.15558;-1.31679;-1.34246;-1.49457;-1.44933;-1.47687;-1.50591;-1.53531;-1.56189;-1.50159;-1.21841;-1.19361;-1.10836;-1.08301;-1.08803;-0.99836;-1.04609;-1.0251;-1.06241;-1.03625
Dec1989;-0.80649;-0.782;-0.96472;-0.55337;-0.36678;-0.62271;-0.69779;-0.75472;-0.85838;-0.84829;-0.88146;-0.89084;-0.87681;-0.70322;-0.71839;-0.65902;-0.6385;-0.81376;-1.17591;-1.32431;-1.38846;-1.41315;-1.43392;-1.41622;-1.3445;-1.34044;-1.35539;-1.39738;-1.26187;-1.20395;-1.35974;-1.38416;-1.53178;-1.48554;-1.51047;-1.53755;-1.56535;-1.58987;-1.53213;-1.2579;-1.23212;-1.14883;-1.12354;-1.12874;-1.03968;-1.08656;-1.06694;-1.10273
Jan1990;-0.24655;-0.7409;-0.76689;-0.94745;-0.57374;-0.39897;-0.64548;-0.7172;-0.76799;-0.86642;-0.85377;-0.88593;-0.89587;-0.88297;-0.71579;-0.72789;-0.67218;-0.65594;-0.83045;-1.19114;-1.33454;-1.39666;-1.42839;-1.44809;-1.43116;-1.35936;-1.35559;-1.3724;-1.41931;-1.28648;-1.2316;-1.3829;-1.3995;-1.5415;-1.49409;-1.5172;-1.54372;-1.57075;-1.59596;-1.54009;-1.26313;-1.24027;-1.15515;-1.1257;-1.13022;-1.04336;-1.09108;-1.072
Feb1990;-0.06668;-0.26906;-0.67257;-0.71959;-0.90922;-0.53416;-0.36443;-0.60458;-0.68147;-0.73336;-0.83011;-0.81628;-0.84997;-0.85846;-0.84468;-0.6835;-0.69384;-0.643;-0.62796;-0.8025;-1.15711;-1.30095;-1.36246;-1.39216;-1.4123;-1.3946;-1.32247;-1.32038;-1.3382;-1.38861;-1.2579;-1.2032;-1.35371;-1.37285;-1.51674;-1.47127;-1.4963;-1.52254;-1.55095;-1.57652;-1.51955;-1.24349;-1.22263;-1.13646;-1.10559;-1.11025;-1.02663;-1.07467
