DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Jun1996;0.02448;-0.17671;0.27149;0.16722;0.3495;0.28606;0.27808;0.27257;0.137;0.11458;0.41118;0.64268;0.5202;0.451;0.23339;0.12583;0.10801;0.07163;0.06079;-0.01688;-0.16756;-0.18059;0.01419;0.13062;0.32342;0.43202;0.33511;0.51514;0.46551;0.41668;0.44074;0.36185;0.26126;0.24298;0.11851;0.0369;-0.10103;-0.13761;-0.16529;-0.14442;-0.13653;-0.13455;-0.05386;-0.06998;-0.02884;-0.12509;-0.12357;-0.10119
Jul1996;-0.29905;-0.21331;-0.30433;0.09119;0.00908;0.17574;0.12024;0.12012;0.1174;0.00967;0.00654;0.2895;0.51977;0.40646;0.35407;0.14844;0.04665;0.03152;-0.00157;-0.00902;-0.08302;-0.21995;-0.23157;-0.04201;0.06313;0.25775;0.36718;0.27385;0.45385;0.40479;0.3572;0.38164;0.30446;0.20689;0.18731;0.06411;-0.01716;-0.15192;-0.18371;-0.20886;-0.18819;-0.18023;-0.17789;-0.09857;-0.1135;-0.07295;-0.16579;-0.16685
Aug1996;-0.33238;-0.44227;-0.37822;-0.44236;-0.07899;-0.13029;0.0215;-0.02498;-0.01875;-0.01326;-0.10309;-0.10786;0.15779;0.37917;0.28135;0.23585;0.0478;-0.0485;-0.06079;-0.09039;-0.098;-0.16631;-0.29614;-0.30521;-0.12464;-0.02105;0.16638;0.27307;0.18586;0.35742;0.3099;0.26452;0.28992;0.21797;0.12434;0.10569;-0.01321;-0.08885;-0.21809;-0.24839;-0.27067;-0.25054;-0.24239;-0.23973;-0.16175;-0.17584;-0.13493;-0.22293
Sep1996;0.91938;0.45601;0.21782;0.17656;0.0781;0.36627;0.29714;0.4171;0.36949;0.36905;0.36019;0.2539;0.23053;0.45878;0.65841;0.56015;0.50547;0.32017;0.22376;0.20885;0.17864;0.17087;0.10125;-0.03238;-0.04781;0.12758;0.217;0.38789;0.48692;0.40344;0.56423;0.51758;0.473;0.49806;0.42746;0.33556;0.31091;0.19589;0.11928;-0.01156;-0.0473;-0.07324;-0.0544;-0.04801;-0.04679;0.03007;0.01408;0.05108
Oct1996;-0.02332;0.70219;0.36511;0.1699;0.12353;0.02359;0.30308;0.2447;0.36458;0.32103;0.33216;0.32705;0.22748;0.20751;0.43292;0.63154;0.53436;0.48212;0.30169;0.20992;0.19658;0.16827;0.16402;0.09512;-0.03646;-0.04679;0.12836;0.21529;0.3833;0.4798;0.39651;0.55497;0.50999;0.46637;0.49256;0.42233;0.33048;0.30592;0.19552;0.12032;-0.01004;-0.04446;-0.0711;-0.0534;-0.04733;-0.04659;0.02965;0.0142
Nov1996;1.32735;0.51009;0.979;0.64064;0.42271;0.35528;0.24137;0.49463;0.43242;0.54212;0.4987;0.50779;0.50086;0.39074;0.36655;0.57833;0.76396;0.66615;0.61008;0.43275;0.34271;0.32841;0.2993;0.29607;0.22638;0.09134;0.07853;0.2508;0.333;0.49366;0.58504;0.50245;0.65522;0.61087;0.56769;0.59333;0.52348;0.43286;0.40381;0.29533;0.22004;0.08997;0.05444;0.02606;0.04341;0.04854;0.04826;0.12364
Dec1996;-0.11822;1.08088;0.44023;0.92672;0.61095;0.40184;0.33246;0.22233;0.47579;0.41731;0.52631;0.48325;0.49398;0.488;0.38079;0.35695;0.56795;0.754;0.65736;0.60312;0.42742;0.33891;0.32497;0.29619;0.29342;0.22434;0.08998;0.07765;0.2508;0.33277;0.49231;0.58257;0.49975;0.65129;0.6071;0.5641;0.59007;0.52038;0.42943;0.40033;0.29327;0.21935;0.08996;0.05474;0.02675;0.0441;0.04919;0.04884
Jan1997;0.12418;-0.01149;0.90034;0.41348;0.89905;0.59194;0.40537;0.3336;0.21861;0.4641;0.40621;0.51179;0.46923;0.48049;0.47586;0.36734;0.34264;0.5523;0.73842;0.64186;0.58769;0.41242;0.32381;0.30975;0.28122;0.27845;0.20932;0.07673;0.06667;0.23952;0.32182;0.48069;0.56971;0.48948;0.64224;0.5983;0.55574;0.58279;0.51246;0.42692;0.39627;0.29487;0.22179;0.09117;0.05083;0.02079;0.03631;0.04007
Feb1997;0.01026;0.03271;-0.04338;0.70809;0.35507;0.8531;0.55892;0.38678;0.31651;0.20442;0.44718;0.39242;0.49742;0.45608;0.46885;0.46508;0.35943;0.33418;0.54008;0.72572;0.63056;0.57687;0.40423;0.31732;0.30383;0.27646;0.27388;0.20613;0.07583;0.06738;0.23823;0.3204;0.47651;0.56505;0.48594;0.63629;0.5928;0.5508;0.57992;0.51017;0.42499;0.39478;0.29488;0.22311;0.09303;0.05376;0.02395;0.03972
Mar1997;0.4242;0.25238;0.22072;0.15095;0.70032;0.40354;0.85868;0.58758;0.43699;0.36186;0.24823;0.48085;0.42847;0.53008;0.49031;0.50333;0.50178;0.39558;0.37308;0.56911;0.74692;0.65256;0.60238;0.43725;0.35336;0.33999;0.31328;0.31341;0.24711;0.1176;0.10777;0.27384;0.35509;0.50543;0.59265;0.51385;0.66045;0.61765;0.57656;0.60567;0.53688;0.45286;0.42259;0.32488;0.25334;0.12562;0.08539;0.05532
