DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Jan2011;0.43561;0.93639;0.93107;0.3239;0.41611;0.41901;0.43647;0.692;0.98467;0.97979;0.8606;0.79742;0.75779;0.73536;0.54865;0.8663;0.61979;0.69972;0.74604;0.85091;0.62787;0.66678;0.7518;0.74609;0.73764;0.8042;0.80263;0.79932;0.82764;0.75705;0.66405;0.66816;0.78664;0.74326;0.72731;0.72262;0.71905;0.72963;0.67906;0.70574;0.67592;0.62762;0.43391;0.32754;0.36047;0.34424;0.29453;0.32155
Feb2011;0.38689;0.49547;0.91562;0.94289;0.38902;0.45038;0.44533;0.45497;0.69806;0.98513;0.98164;0.86379;0.80307;0.76653;0.74668;0.56317;0.87315;0.63056;0.70917;0.75578;0.86015;0.64021;0.67837;0.76094;0.7558;0.74767;0.81746;0.81696;0.81311;0.84244;0.77298;0.67939;0.68283;0.8016;0.75732;0.74097;0.737;0.73297;0.74373;0.69361;0.71934;0.68965;0.64186;0.4507;0.34452;0.37695;0.36074;0.31121
Mar2011;0.55002;0.59937;0.5931;0.92166;0.99957;0.50553;0.55293;0.55285;0.56218;0.79627;1.06647;1.05584;0.94243;0.88408;0.84742;0.82735;0.64672;0.9463;0.70866;0.78339;0.82511;0.92673;0.71077;0.75014;0.82883;0.82363;0.81412;0.88104;0.87837;0.87487;0.90156;0.83453;0.74073;0.7424;0.8618;0.81613;0.79935;0.79479;0.78949;0.79826;0.74867;0.77325;0.74327;0.69475;0.50311;0.39509;0.42748;0.41118
Apr2011;0.84562;0.93351;0.92416;0.86363;1.03644;1.0906;0.74894;0.77695;0.76454;0.75312;0.94786;1.18822;1.17839;1.06956;1.01942;0.98483;0.96269;0.78794;1.07312;0.84166;0.91136;0.94597;1.03283;0.82602;0.8603;0.9351;0.93047;0.91717;0.97043;0.96639;0.96312;0.98971;0.9278;0.83553;0.83248;0.94715;0.90237;0.8877;0.88294;0.87581;0.88532;0.83776;0.86003;0.8337;0.78452;0.59545;0.48824;0.51465
May2011;1.3789;1.5447;1.5908;1.56346;1.50883;1.59482;1.58853;1.35285;1.37818;1.34768;1.30303;1.42675;1.60818;1.60448;1.50064;1.45295;1.41075;1.37445;1.21132;1.44834;1.23736;1.28417;1.29247;1.37419;1.18584;1.21115;1.27953;1.27491;1.25671;1.29753;1.29025;1.27714;1.3005;1.2476;1.13338;1.11632;1.20797;1.16563;1.15179;1.14711;1.138;1.14862;1.10388;1.1209;1.09696;1.05163;0.8713;0.76511
Jun2011;0.51493;1.30637;1.42474;1.47376;1.49222;1.45005;1.53545;1.54716;1.35876;1.44683;1.38794;1.33425;1.45081;1.62186;1.62651;1.52491;1.47998;1.44033;1.41298;1.25886;1.48859;1.27933;1.32714;1.33792;1.41827;1.23377;1.25775;1.32386;1.31798;1.30141;1.33626;1.32956;1.32792;1.34356;1.29154;1.17989;1.16586;1.25372;1.21283;1.19911;1.1941;1.18649;1.19997;1.15693;1.17365;1.1476;1.10506;0.92701
Jul2011;0.01798;0.31639;1.11105;1.24988;1.30009;1.31706;1.28666;1.36203;1.37125;1.20522;1.25977;1.22433;1.17824;1.30774;1.50048;1.51388;1.42553;1.38374;1.35096;1.3283;1.17995;1.40811;1.19867;1.25155;1.26909;1.34474;1.16604;1.18379;1.2476;1.24269;1.22912;1.26471;1.2594;1.25554;1.28533;1.2411;1.13379;1.12194;1.21434;1.17631;1.16279;1.15823;1.1519;1.16419;1.12235;1.14159;1.11374;1.07018
Aug2011;-0.6788;-0.45372;-0.03842;0.79391;0.99404;1.06473;1.08406;1.05181;1.14291;1.16644;1.01481;1.05604;1.03974;1.01541;1.16209;1.36119;1.37216;1.28905;1.24514;1.21598;1.20475;1.05641;1.29778;1.09131;1.1452;1.16914;1.24945;1.07327;1.09579;1.15939;1.15464;1.14494;1.18366;1.18181;1.18118;1.20914;1.17332;1.06341;1.05973;1.15063;1.1123;1.09736;1.09294;1.08641;1.0993;1.05521;1.07425;1.04412
Sep2011;-1.06461;-1.22198;-0.96937;-0.48441;0.39457;0.63271;0.72481;0.74418;0.72282;0.83997;0.87828;0.73475;0.78082;0.77889;0.7788;0.93401;1.15048;1.162;1.07924;1.03527;1.01027;1.00483;0.86236;1.10488;0.91035;0.97204;1.00704;1.08251;0.91346;0.93698;1.00263;0.99761;0.98953;1.02893;1.02765;1.03434;1.0593;1.01388;0.91233;0.91428;1.0002;0.9655;0.9509;0.94711;0.94125;0.95285;0.91089;0.93267
Oct2011;0.19656;-0.65327;-0.90851;-0.7962;-0.41365;0.40935;0.63623;0.72531;0.73823;0.72005;0.83203;0.86906;0.73097;0.78766;0.78883;0.78446;0.93525;1.15138;1.15536;1.07577;1.03406;1.0086;1.00794;0.86699;1.10633;0.91517;0.97461;1.00998;1.08217;0.91741;0.94115;1.00627;1.00275;0.99373;1.02977;1.03036;1.03712;1.06383;1.01269;0.91494;0.91708;1.00298;0.96714;0.95336;0.95029;0.94377;0.95189;0.91037
