DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Feb1986;-0.07938;0.12008;0.38153;0.27191;-0.30425;-0.14223;-0.03691;0.18642;0.16767;0.11168;0.09505;0.16026;0.15768;0.14101;0.16745;0.13257;0.06435;-0.01784;-0.11884;-0.0822;-0.14164;-0.09932;-0.09031;-0.04109;-0.04249;-0.047;-0.0134;-0.04025;-0.22091;-0.30749;-0.43815;-0.51401;-0.52759;-0.56134;-0.67079;-0.74439;-0.77844;-0.74903;-0.7352;-0.73092;-0.69578;-0.74732;-0.76735;-0.76628;-0.77481;-0.74929;-0.70567;-0.63978
Mar1986;0.39555;0.24194;0.32867;0.45053;0.36495;-0.10037;0.00291;0.08616;0.28041;0.25769;0.20047;0.17537;0.23284;0.22883;0.21242;0.23715;0.20242;0.13484;0.05358;-0.04293;-0.01038;-0.07112;-0.03267;-0.02603;0.01893;0.01564;0.01113;0.04221;0.01455;-0.16328;-0.24952;-0.3768;-0.45116;-0.46561;-0.49988;-0.60866;-0.68239;-0.7165;-0.68814;-0.67466;-0.67177;-0.63882;-0.68988;-0.71056;-0.70961;-0.71902;-0.69521;-0.65347
Apr1986;-0.72398;-0.21878;-0.21942;-0.1402;-0.01563;-0.02485;-0.36438;-0.2292;-0.11544;0.08767;0.07888;0.04171;0.03057;0.09667;0.09314;0.08143;0.1039;0.07211;0.01153;-0.05857;-0.14221;-0.10315;-0.1563;-0.11795;-0.10988;-0.06291;-0.06543;-0.07019;-0.03746;-0.06373;-0.23323;-0.31334;-0.43587;-0.50721;-0.51954;-0.55043;-0.65401;-0.72519;-0.75759;-0.73011;-0.71764;-0.71429;-0.68151;-0.73004;-0.75047;-0.74921;-0.75779;-0.7339
May1986;-0.43109;-0.72748;-0.38973;-0.37743;-0.31322;-0.204;-0.2023;-0.4711;-0.34866;-0.23642;-0.03361;-0.03361;-0.05989;-0.06278;0.00536;0.00248;-0.00668;0.01689;-0.01192;-0.06646;-0.12792;-0.20441;-0.16465;-0.21193;-0.17452;-0.16491;-0.11733;-0.11864;-0.12329;-0.08888;-0.11342;-0.27445;-0.35015;-0.46884;-0.53808;-0.54958;-0.57912;-0.67854;-0.74869;-0.77996;-0.75312;-0.73969;-0.73646;-0.70367;-0.7511;-0.77124;-0.77016;-0.77817
Jun1986;-0.51768;-0.66165;-0.8233;-0.55843;-0.53826;-0.47968;-0.38214;-0.37528;-0.59255;-0.46488;-0.3623;-0.16159;-0.15243;-0.17291;-0.16811;-0.09949;-0.10067;-0.10841;-0.0853;-0.10952;-0.15571;-0.2098;-0.2823;-0.24133;-0.28219;-0.24469;-0.23368;-0.18587;-0.18588;-0.18999;-0.15544;-0.17809;-0.33043;-0.40213;-0.51769;-0.5838;-0.59432;-0.62279;-0.71755;-0.78396;-0.81339;-0.78697;-0.7731;-0.76939;-0.73742;-0.78289;-0.80221;-0.80168
Jul1986;0.22351;-0.15609;-0.36342;-0.5756;-0.38669;-0.38567;-0.33877;-0.25878;-0.25605;-0.45938;-0.36038;-0.27552;-0.10041;-0.09262;-0.11317;-0.11165;-0.04714;-0.048;-0.05706;-0.03406;-0.05822;-0.10576;-0.16174;-0.23527;-0.19677;-0.23799;-0.20257;-0.19249;-0.14661;-0.14703;-0.15168;-0.117;-0.13991;-0.29207;-0.36481;-0.48051;-0.54742;-0.55817;-0.58744;-0.68264;-0.74943;-0.77895;-0.75256;-0.7381;-0.73445;-0.70361;-0.74921;-0.77008
Aug1986;-0.40559;-0.15038;-0.37456;-0.52557;-0.69102;-0.52185;-0.5143;-0.46941;-0.39612;-0.3942;-0.57357;-0.47686;-0.38542;-0.21151;-0.1981;-0.2143;-0.20815;-0.14176;-0.14089;-0.14875;-0.12583;-0.14882;-0.19232;-0.24277;-0.30786;-0.2659;-0.30397;-0.26986;-0.25802;-0.21063;-0.21041;-0.21506;-0.18079;-0.20229;-0.35039;-0.41982;-0.53078;-0.59557;-0.60542;-0.63311;-0.72394;-0.78829;-0.81668;-0.79073;-0.77726;-0.7735;-0.74338;-0.7878
Sep1986;0.16689;-0.20377;-0.05052;-0.25778;-0.41534;-0.58432;-0.4384;-0.43639;-0.39639;-0.33143;-0.33106;-0.49852;-0.41857;-0.34317;-0.18219;-0.16887;-0.18492;-0.18142;-0.11777;-0.1172;-0.1259;-0.10248;-0.12554;-0.16964;-0.21869;-0.28664;-0.24784;-0.28552;-0.25269;-0.2419;-0.1957;-0.19519;-0.19975;-0.1642;-0.18579;-0.33255;-0.40205;-0.51319;-0.57657;-0.58627;-0.61385;-0.70465;-0.76762;-0.79568;-0.76937;-0.75543;-0.75168;-0.72242
Oct1986;0.07441;0.16518;-0.14518;-0.02084;-0.20749;-0.35445;-0.51274;-0.38351;-0.38359;-0.34814;-0.28908;-0.29013;-0.45012;-0.37759;-0.31137;-0.16015;-0.14728;-0.16343;-0.16052;-0.09946;-0.09729;-0.10621;-0.07926;-0.10182;-0.14409;-0.19086;-0.26054;-0.22525;-0.26314;-0.23196;-0.22184;-0.17729;-0.1765;-0.18069;-0.14566;-0.1664;-0.3096;-0.37803;-0.48687;-0.54999;-0.5602;-0.58727;-0.67775;-0.74076;-0.76919;-0.7436;-0.73046;-0.72675
Nov1986;0.43446;0.18632;0.21485;-0.09214;0.02174;-0.16085;-0.30583;-0.46017;-0.33807;-0.34;-0.30601;-0.24963;-0.25083;-0.40821;-0.34211;-0.28189;-0.13558;-0.12332;-0.14004;-0.13843;-0.07942;-0.07755;-0.08653;-0.05936;-0.08151;-0.12325;-0.17006;-0.24004;-0.20601;-0.24411;-0.21388;-0.2043;-0.16079;-0.16012;-0.16411;-0.12937;-0.15023;-0.29197;-0.35995;-0.46798;-0.5303;-0.54069;-0.56801;-0.65814;-0.72105;-0.74933;-0.72394;-0.7109
Dec1986;0.76384;0.68101;0.3302;0.29528;-0.02162;0.08035;-0.09964;-0.24883;-0.40606;-0.28804;-0.29222;-0.25891;-0.20449;-0.20542;-0.36142;-0.3013;-0.24797;-0.10463;-0.09344;-0.11161;-0.11146;-0.0543;-0.05251;-0.06195;-0.03507;-0.05685;-0.09897;-0.1471;-0.21946;-0.18631;-0.22509;-0.19554;-0.18614;-0.14349;-0.14304;-0.1469;-0.11219;-0.13304;-0.27464;-0.34295;-0.4512;-0.51292;-0.52325;-0.55142;-0.64156;-0.70385;-0.7319;-0.70638
Jan1987;-0.69464;-0.01973;0.20834;0.14177;0.16123;-0.13289;-0.01913;-0.19069;-0.3311;-0.47933;-0.35851;-0.36199;-0.32782;-0.27202;-0.27185;-0.42578;-0.36378;-0.3129;-0.16604;-0.15112;-0.16903;-0.16769;-0.10977;-0.1064;-0.11592;-0.08866;-0.11021;-0.15102;-0.1969;-0.26868;-0.23537;-0.27568;-0.2462;-0.23654;-0.19394;-0.19295;-0.19679;-0.1627;-0.1832;-0.32375;-0.39101;-0.49821;-0.55935;-0.569;-0.5979;-0.68939;-0.75171;-0.78031
Feb1987;-0.46755;-0.69049;-0.32504;-0.09638;-0.03473;0.04139;-0.20942;-0.09176;-0.24988;-0.37833;-0.5162;-0.39607;-0.39722;-0.36403;-0.30945;-0.3093;-0.45608;-0.3934;-0.34039;-0.19697;-0.18156;-0.19814;-0.19615;-0.13863;-0.13457;-0.14342;-0.11553;-0.13655;-0.17561;-0.21991;-0.28892;-0.25617;-0.29526;-0.26606;-0.25626;-0.21365;-0.21244;-0.21629;-0.18131;-0.20131;-0.33939;-0.4051;-0.51081;-0.5706;-0.57984;-0.60761;-0.69709;-0.75831
Mar1987;0.22165;-0.0779;-0.26896;-0.1027;-0.00201;0.02764;0.07985;-0.14682;-0.04572;-0.19838;-0.32205;-0.45635;-0.345;-0.3472;-0.31661;-0.26379;-0.26493;-0.40522;-0.34855;-0.29997;-0.16378;-0.15083;-0.16716;-0.1669;-0.11196;-0.10857;-0.11744;-0.09092;-0.11176;-0.15023;-0.1949;-0.26323;-0.23179;-0.27116;-0.24338;-0.23412;-0.19326;-0.19242;-0.19628;-0.16172;-0.18157;-0.31672;-0.38094;-0.48493;-0.54346;-0.55269;-0.58094;-0.66904
Apr1987;-1.25327;-0.73188;-0.77504;-0.84855;-0.67122;-0.56496;-0.4771;-0.32984;-0.4873;-0.36176;-0.47735;-0.575;-0.68204;-0.56748;-0.56342;-0.53259;-0.47913;-0.47475;-0.5957;-0.53214;-0.48299;-0.34947;-0.32954;-0.34055;-0.3344;-0.276;-0.26981;-0.27702;-0.24852;-0.26574;-0.29759;-0.33537;-0.39888;-0.36555;-0.39886;-0.36979;-0.35803;-0.31523;-0.31286;-0.3162;-0.28208;-0.29975;-0.42646;-0.4851;-0.58531;-0.64013;-0.64823;-0.67352
May1987;-1.15814;-1.51391;-1.14865;-1.12127;-1.16042;-1.01873;-0.92052;-0.82833;-0.67658;-0.77449;-0.64114;-0.73432;-0.8034;-0.88468;-0.76823;-0.75671;-0.72674;-0.67248;-0.66365;-0.76419;-0.69745;-0.64318;-0.5148;-0.49208;-0.49574;-0.48397;-0.42281;-0.41499;-0.41961;-0.39054;-0.40471;-0.43057;-0.46297;-0.5167;-0.48219;-0.51019;-0.48065;-0.46699;-0.42302;-0.41991;-0.42298;-0.38726;-0.40335;-0.52235;-0.57614;-0.6712;-0.72391;-0.73066
Jun1987;-0.33752;-1.0203;-1.34759;-1.09592;-1.0902;-1.13004;-1.01313;-0.93219;-0.85356;-0.71273;-0.80046;-0.67521;-0.7605;-0.82299;-0.89725;-0.78959;-0.77896;-0.75022;-0.6994;-0.69067;-0.78353;-0.71824;-0.66853;-0.54668;-0.5229;-0.52578;-0.51378;-0.4545;-0.44659;-0.45101;-0.42245;-0.43506;-0.4594;-0.48956;-0.54352;-0.51149;-0.53815;-0.50862;-0.49463;-0.45195;-0.44833;-0.45091;-0.41564;-0.43082;-0.54595;-0.59813;-0.69161;-0.74268
Jul1987;-0.78159;-0.77819;-1.2;-1.45317;-1.24737;-1.23318;-1.26512;-1.171;-1.103;-1.02953;-0.89533;-0.95376;-0.83476;-0.90537;-0.95336;-1.01424;-0.90954;-0.89679;-0.86939;-0.81974;-0.81058;-0.89372;-0.82631;-0.77208;-0.65239;-0.62591;-0.62662;-0.61349;-0.55481;-0.54679;-0.55042;-0.52209;-0.53252;-0.55449;-0.58095;-0.62748;-0.59474;-0.61709;-0.58662;-0.57144;-0.52869;-0.52397;-0.52638;-0.49053;-0.50493;-0.61571;-0.66471;-0.75539
