DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Jul1954;-1.1141;-1.11656;-0.58656;-0.61819;-0.75973;-0.96485;-1.01391;-0.92841;-0.88489;-0.73619;-0.94767;-0.81172;-0.76931;-1.05627;-1.10257;-1.0745;-1.10171;-1.12343;-1.19399;-1.16571;-1.07012;-1.18115;-1.27474;-1.36018;-1.35779;-1.47259;-1.44667;-1.34285;-1.31767;-1.32594;-1.36816;-1.40774;-1.41165;-1.42104;-1.35551;-1.39314;-1.38893;-1.24562;-1.17479;-1.18439;-1.1763;-1.15691;-1.15517;-1.21477;-1.25824;-1.34968;-1.32046;-1.23383
Aug1954;-0.53901;-1.07625;-1.11543;-0.71137;-0.73218;-0.86301;-1.03716;-1.08498;-1.00484;-0.95859;-0.8199;-1.00734;-0.87618;-0.84087;-1.10773;-1.15165;-1.12127;-1.14437;-1.16262;-1.22771;-1.20194;-1.11137;-1.21644;-1.30562;-1.37936;-1.38063;-1.48909;-1.46609;-1.3711;-1.34609;-1.35298;-1.39274;-1.43223;-1.43599;-1.44375;-1.3783;-1.41246;-1.40745;-1.26424;-1.19581;-1.20547;-1.19781;-1.17822;-1.17556;-1.23003;-1.27059;-1.35781;-1.33017
Sep1954;-1.46856;-1.26071;-1.4561;-1.42258;-1.09013;-1.08962;-1.1869;-1.31837;-1.35037;-1.27552;-1.23182;-1.10033;-1.24073;-1.1132;-1.08052;-1.30404;-1.33511;-1.29933;-1.31486;-1.32735;-1.38422;-1.35607;-1.27293;-1.36393;-1.43816;-1.49719;-1.49962;-1.59119;-1.5693;-1.48339;-1.459;-1.46379;-1.49885;-1.53414;-1.53548;-1.54155;-1.47749;-1.50925;-1.50451;-1.36602;-1.30196;-1.31201;-1.30418;-1.28504;-1.28059;-1.3334;-1.37152;-1.45011
Oct1954;0.11772;-0.96383;-0.98518;-1.26465;-1.2774;-0.99585;-0.99825;-1.08681;-1.21956;-1.2479;-1.18273;-1.14994;-1.04616;-1.18632;-1.07001;-1.0482;-1.27112;-1.30038;-1.26446;-1.2778;-1.28913;-1.34282;-1.31705;-1.2347;-1.32052;-1.39914;-1.46034;-1.46559;-1.55723;-1.53941;-1.45535;-1.42976;-1.43402;-1.46732;-1.50416;-1.50623;-1.51355;-1.45014;-1.48114;-1.479;-1.34286;-1.28096;-1.29136;-1.28404;-1.26553;-1.26165;-1.314;-1.35142
Nov1954;-0.7893;-0.36691;-1.20288;-1.16953;-1.39785;-1.37649;-1.09029;-1.08527;-1.16678;-1.29178;-1.32147;-1.26061;-1.23042;-1.12719;-1.25628;-1.14346;-1.11986;-1.32798;-1.35348;-1.31767;-1.33084;-1.34225;-1.39486;-1.37087;-1.29249;-1.3719;-1.44275;-1.50196;-1.50615;-1.5912;-1.57168;-1.48964;-1.46474;-1.4696;-1.50218;-1.53606;-1.5388;-1.5449;-1.48345;-1.51314;-1.51422;-1.38263;-1.31973;-1.32946;-1.32097;-1.30193;-1.29771;-1.34782
Dec1954;-0.65126;-0.98993;-0.54751;-1.2832;-1.24706;-1.45902;-1.42299;-1.14117;-1.1317;-1.20707;-1.32605;-1.35578;-1.29998;-1.27233;-1.16455;-1.2911;-1.17854;-1.15516;-1.35842;-1.38422;-1.34756;-1.35829;-1.3681;-1.4186;-1.39627;-1.31942;-1.39554;-1.46594;-1.52336;-1.52716;-1.60891;-1.59029;-1.51059;-1.48564;-1.49051;-1.52148;-1.55387;-1.55619;-1.56102;-1.5001;-1.52792;-1.52825;-1.39792;-1.33622;-1.34567;-1.33698;-1.31794;-1.31368
Jan1955;0.24212;-0.25263;-0.74937;-0.44838;-1.15662;-1.16591;-1.39633;-1.37158;-1.10972;-1.10487;-1.18211;-1.30059;-1.33113;-1.27747;-1.25754;-1.15849;-1.28367;-1.17553;-1.1581;-1.36586;-1.39956;-1.36354;-1.37654;-1.3843;-1.43535;-1.41202;-1.33534;-1.41171;-1.48438;-1.547;-1.56043;-1.65355;-1.63731;-1.56102;-1.54085;-1.54586;-1.57658;-1.61433;-1.61751;-1.62822;-1.56117;-1.59351;-1.58625;-1.45293;-1.38931;-1.39873;-1.38863;-1.36506
Feb1955;0.35949;0.31653;-0.0251;-0.49578;-0.31382;-1.00585;-1.05153;-1.31748;-1.30238;-1.05372;-1.05477;-1.13372;-1.25616;-1.28905;-1.23821;-1.22175;-1.12557;-1.25196;-1.14603;-1.1289;-1.3378;-1.37203;-1.33583;-1.35;-1.35879;-1.4107;-1.38718;-1.30899;-1.38751;-1.46188;-1.52557;-1.53835;-1.63418;-1.61934;-1.54401;-1.52366;-1.52868;-1.55905;-1.59644;-1.59963;-1.61011;-1.54356;-1.57705;-1.56935;-1.43476;-1.37253;-1.38205;-1.37187
Mar1955;-0.71392;-0.33235;-0.19721;-0.40911;-0.71528;-0.52067;-1.12889;-1.16589;-1.42128;-1.38194;-1.13577;-1.13771;-1.20998;-1.32808;-1.35979;-1.30646;-1.29054;-1.19202;-1.31722;-1.20617;-1.18601;-1.38601;-1.41516;-1.37903;-1.39235;-1.39966;-1.4486;-1.42583;-1.34902;-1.42361;-1.49474;-1.55739;-1.5708;-1.66435;-1.64889;-1.57519;-1.55537;-1.56022;-1.5892;-1.6262;-1.63027;-1.63892;-1.57604;-1.60901;-1.60589;-1.47227;-1.41042;-1.41967
Apr1955;-0.88813;-1.03112;-0.77049;-0.64034;-0.7604;-0.95118;-0.76244;-1.2597;-1.29487;-1.53475;-1.48424;-1.24592;-1.25012;-1.31854;-1.42582;-1.45549;-1.40491;-1.38948;-1.29017;-1.40784;-1.29422;-1.27299;-1.45813;-1.48065;-1.44505;-1.45724;-1.46212;-1.50834;-1.48269;-1.40913;-1.48033;-1.55103;-1.61214;-1.6278;-1.72008;-1.70155;-1.62849;-1.60882;-1.61246;-1.63995;-1.67633;-1.6801;-1.68656;-1.6258;-1.66104;-1.66188;-1.52846;-1.46698
