DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Feb1988;-0.51712;-0.13003;0.27448;0.09827;-0.30731;-0.27362;0.05195;0.09496;-0.16844;-0.00569;-0.33059;-0.10233;0.02475;0.02007;0.0059;0.09661;0.2213;0.5016;0.55486;0.55854;0.54685;0.53502;0.66969;0.53615;0.54271;0.47426;0.47255;0.55329;0.61627;0.74185;0.78884;0.7344;0.69999;0.63102;0.59459;0.60021;0.61201;0.6083;0.66875;0.65051;0.81573;0.75436;0.6524;0.54802;0.60542;0.49745;0.63592;0.68704
Mar1988;-0.12557;-0.38708;-0.23011;0.05027;-0.03438;-0.35928;-0.33033;-0.02201;0.04279;-0.21273;-0.05037;-0.36519;-0.1415;-0.01861;-0.0252;-0.03884;0.05007;0.1674;0.44789;0.50452;0.51422;0.50542;0.49708;0.63422;0.50455;0.5123;0.44434;0.44316;0.52398;0.58744;0.71209;0.7618;0.70905;0.674;0.60695;0.56902;0.57509;0.58589;0.5824;0.64366;0.62549;0.79045;0.72848;0.62719;0.52605;0.58542;0.47923;0.61759
Apr1988;-0.18514;-0.33426;-0.48361;-0.40806;-0.19494;-0.21089;-0.46257;-0.43806;-0.15994;-0.07953;-0.29255;-0.12929;-0.40672;-0.1999;-0.08742;-0.09189;-0.10141;-0.01912;0.09863;0.36375;0.41436;0.42796;0.42383;0.42028;0.55656;0.43633;0.44424;0.37931;0.37775;0.45672;0.5229;0.63972;0.68958;0.64157;0.61306;0.55118;0.51456;0.51968;0.53065;0.52703;0.59079;0.57369;0.73871;0.67878;0.57913;0.48237;0.54375;0.44243
May1988;-0.50897;-0.48892;-0.51399;-0.61606;-0.56509;-0.37423;-0.37147;-0.55767;-0.52562;-0.3137;-0.24602;-0.42135;-0.26298;-0.51311;-0.32056;-0.21194;-0.21266;-0.21325;-0.13515;-0.00541;0.24607;0.30099;0.32128;0.32096;0.31641;0.44873;0.33041;0.33745;0.27238;0.27346;0.34964;0.4211;0.53994;0.58747;0.54113;0.51804;0.459;0.4259;0.43057;0.44242;0.43891;0.50429;0.48692;0.65385;0.59339;0.4952;0.40134;0.46054
Jun1988;-1.09643;-1.0367;-0.95243;-0.94989;-1.00689;-0.95877;-0.79642;-0.77397;-0.89071;-0.85005;-0.67176;-0.6038;-0.7106;-0.54233;-0.74193;-0.56864;-0.46809;-0.46425;-0.45553;-0.38225;-0.24474;-0.0201;0.04513;0.06066;0.07472;0.07688;0.1968;0.08252;0.08753;0.02336;0.02278;0.09113;0.16384;0.27983;0.32782;0.29265;0.27573;0.22385;0.19715;0.20369;0.21555;0.21346;0.28033;0.26361;0.43272;0.37;0.27755;0.19003
Jul1988;-0.26584;-0.88653;-0.93947;-0.88989;-0.89464;-0.94694;-0.9125;-0.77316;-0.75837;-0.86646;-0.82193;-0.66249;-0.60514;-0.70023;-0.54375;-0.71888;-0.56265;-0.47024;-0.46647;-0.45913;-0.3916;-0.26337;-0.06335;-0.00052;0.00355;0.02447;0.02818;0.13973;0.02923;0.03447;-0.02732;-0.02889;0.03518;0.10698;0.21604;0.26156;0.22673;0.21257;0.16114;0.13738;0.14288;0.15456;0.15309;0.21791;0.20022;0.36404;0.30474;0.21568
Aug1988;-0.45471;-0.49229;-0.96852;-1.02319;-1.00445;-0.99939;-1.04845;-1.0139;-0.88477;-0.85779;-0.96398;-0.90562;-0.75817;-0.69818;-0.7862;-0.63055;-0.79984;-0.64905;-0.55936;-0.55711;-0.5528;-0.48453;-0.35424;-0.15484;-0.08796;-0.07923;-0.05646;-0.05227;0.06071;-0.04798;-0.04289;-0.10415;-0.10475;-0.04062;0.03091;0.14244;0.18484;0.15629;0.14381;0.09403;0.0736;0.07988;0.09212;0.0913;0.15645;0.13947;0.30297;0.24225
Sep1988;0.56263;0.03467;-0.17911;-0.6868;-0.77042;-0.7774;-0.77669;-0.83142;-0.80509;-0.68699;-0.67238;-0.78764;-0.74927;-0.62849;-0.57936;-0.67869;-0.52836;-0.6981;-0.55013;-0.46396;-0.46363;-0.4624;-0.39834;-0.27782;-0.08435;-0.02226;-0.013;0.0092;0.01022;0.12747;0.02134;0.02619;-0.03276;-0.03439;0.02886;0.09426;0.20285;0.2443;0.21422;0.19915;0.15262;0.12969;0.13474;0.14527;0.14376;0.20587;0.1892;0.34834
Oct1988;-0.77631;-0.07186;-0.36725;-0.46917;-0.87457;-0.92134;-0.91592;-0.91565;-0.96164;-0.93534;-0.82723;-0.81292;-0.91415;-0.87896;-0.7654;-0.71336;-0.79787;-0.64778;-0.8077;-0.66665;-0.58168;-0.58052;-0.57793;-0.51473;-0.3902;-0.19747;-0.13473;-0.12749;-0.10171;-0.0966;0.01486;-0.08842;-0.08342;-0.13982;-0.14198;-0.08;-0.0117;0.09681;0.13696;0.11198;0.09984;0.05213;0.03008;0.03737;0.04888;0.04767;0.10974;0.09392
Nov1988;-0.07184;-0.73006;-0.13206;-0.39405;-0.47427;-0.87003;-0.92211;-0.92074;-0.92066;-0.96597;-0.9406;-0.83544;-0.82371;-0.92122;-0.88639;-0.77543;-0.72401;-0.80778;-0.66108;-0.82116;-0.68333;-0.59835;-0.59714;-0.59364;-0.53006;-0.40767;-0.21662;-0.15305;-0.14397;-0.11615;-0.11124;0.00089;-0.10164;-0.09642;-0.15247;-0.15416;-0.09304;-0.02369;0.08455;0.12603;0.10318;0.09208;0.04351;0.02207;0.02989;0.04107;0.0396;0.10146
